Date,Predicted
2020-06-08,36100.02734375
2020-06-09,36084.34375
2020-06-10,36058.921875
2020-06-11,36021.578125
2020-06-12,35968.17578125
2020-06-15,35896.65625
2020-06-16,35808.53515625
2020-06-17,35704.140625
2020-06-18,35584.91015625
2020-06-19,35453.6796875
2020-06-22,35312.51953125
2020-06-23,35163.5
2020-06-24,35008.51953125
2020-06-25,34855.2890625
2020-06-26,34704.82421875
2020-06-29,34557.76171875
2020-06-30,34419.359375
2020-07-01,34291.8046875
2020-07-02,34173.39453125
2020-07-03,34067.6875
2020-07-06,33972.52734375
2020-07-07,33887.1796875
2020-07-08,33812.3671875
2020-07-09,33747.203125
2020-07-10,33689.64453125
2020-07-13,33639.4453125
2020-07-14,33597.03515625
2020-07-15,33558.21484375
2020-07-16,33520.6640625
2020-07-17,33485.890625
2020-07-20,33456.2890625
2020-07-21,33435.03125
2020-07-22,33423.63671875
2020-07-23,33422.68359375
2020-07-24,33429.91015625
2020-07-27,33444.1328125
2020-07-28,33462.8828125
2020-07-29,33485.1640625
2020-07-30,33509.09375
2020-07-31,33534.08984375
2020-08-03,33561.79296875
2020-08-04,33595.46875
2020-08-05,33635.69921875
2020-08-06,33683.125
2020-08-07,33733.57421875
2020-08-10,33784.53515625
2020-08-11,33837.80078125
2020-08-12,33896.609375
2020-08-13,33962.75
2020-08-14,34036.11328125
2020-08-18,34116.05859375
2020-08-19,34202.05078125
2020-08-20,34293.96484375
2020-08-21,34389.99609375
2020-08-24,34488.53125
2020-08-25,34589.0390625
2020-08-26,34690.76953125
2020-08-27,34793.34765625
2020-08-28,34896.5859375
2020-08-31,34999.2421875
2020-09-01,35102.21875
2020-09-02,35205.78125
2020-09-03,35305.61328125
2020-09-04,35402.2109375
2020-09-07,35490.09375
2020-09-08,35569.52734375
2020-09-09,35638.77734375
2020-09-10,35694.734375
2020-09-11,35738.79296875
2020-09-14,35773.3046875
2020-09-15,35803.09765625
2020-09-16,35831.04296875
2020-09-17,35858.73828125
2020-09-18,35885.7421875
2020-09-21,35913.0234375
2020-09-22,35940.30078125
2020-09-23,35965.68359375
2020-09-24,35988.2890625
2020-09-25,36009.37890625
2020-09-28,36030.06640625
2020-09-29,36046.859375
2020-10-05,36055.87890625
2020-10-06,36056.08203125
2020-10-07,36048.70703125
2020-10-08,36038.43359375
2020-10-12,36029.12109375
2020-10-13,36022.68359375
2020-10-14,36019.609375
2020-10-15,36018.69921875
2020-10-16,36015.890625
2020-10-19,36008.56640625
2020-10-20,35997.421875
2020-10-21,35983.55859375
2020-10-22,35968.1328125
2020-10-23,35951.93359375
2020-10-26,35937.55859375
2020-10-27,35924.5859375
2020-10-28,35915.66796875
2020-10-29,35912.0
2020-10-30,35912.30078125
2020-11-02,35915.3828125
2020-11-03,35921.6796875
2020-11-04,35935.828125
2020-11-05,35963.26953125
2020-11-06,36007.2109375
2020-11-09,36070.37890625
2020-11-10,36153.25
2020-11-11,36256.78515625
2020-11-12,36376.34375
2020-11-13,36503.4765625
2020-11-16,36633.16796875
2020-11-17,36765.1640625
2020-11-18,36897.66796875
2020-11-19,37030.890625
2020-11-20,37164.54296875
2020-11-23,37299.58203125
2020-11-24,37435.1875
2020-11-25,37568.41796875
2020-11-26,37693.71875
2020-11-27,37807.7734375
2020-11-30,37908.99609375
2020-12-01,37996.55078125
2020-12-02,38073.8671875
2020-12-03,38147.671875
2020-12-04,38221.41015625
2020-12-07,38297.10546875
2020-12-08,38369.921875
2020-12-09,38440.53125
2020-12-10,38509.83203125
2020-12-11,38581.23828125
2020-12-14,38653.1328125
2020-12-15,38726.2890625
2020-12-16,38802.53515625
2020-12-17,38884.05859375
2020-12-18,38972.7578125
2020-12-21,39068.49609375
2020-12-22,39170.8515625
2020-12-23,39278.66796875
2020-12-24,39387.19921875
2020-12-28,39491.7421875
2020-12-29,39592.40234375
2020-12-30,39688.34375
2021-01-04,39776.8203125
2021-01-05,39860.03125
2021-01-06,39941.9609375
2021-01-07,40022.1484375
2021-01-08,40096.88671875
2021-01-11,40164.30859375
2021-01-12,40228.234375
2021-01-13,40291.171875
2021-01-14,40354.09375
2021-01-15,40414.421875
2021-01-18,40472.7109375
2021-01-19,40527.34375
2021-01-20,40580.01953125
2021-01-21,40631.0859375
2021-01-22,40688.6015625
2021-01-25,40759.26953125
2021-01-26,40844.140625
2021-01-27,40944.62890625
2021-01-28,41055.69140625
2021-01-29,41171.7734375
2021-02-01,41285.73828125
2021-02-02,41396.19140625
2021-02-03,41502.09765625
2021-02-04,41600.01171875
2021-02-05,41684.82421875
2021-02-08,41755.5859375
2021-02-09,41813.21875
2021-02-10,41862.85546875
2021-02-15,41905.09765625
2021-02-16,41942.88671875
2021-02-17,41971.06640625
2021-02-18,41976.4296875
2021-02-19,41960.8359375
2021-02-22,41929.46875
2021-02-23,41889.4765625
2021-02-24,41846.46875
2021-02-25,41806.94140625
2021-02-26,41769.3125
2021-03-02,41732.99609375
2021-03-03,41697.75390625
2021-03-04,41663.33984375
2021-03-05,41633.25390625
2021-03-08,41608.7734375
2021-03-09,41592.1171875
2021-03-10,41584.37890625
2021-03-11,41593.07421875
2021-03-12,41621.89453125
2021-03-15,41668.359375
2021-03-16,41715.375
2021-03-17,41753.1328125
2021-03-18,41778.609375
2021-03-19,41792.7890625
2021-03-22,41798.34375
2021-03-23,41797.3046875
2021-03-24,41795.27734375
2021-03-25,41794.62890625
2021-03-26,41793.49609375
2021-03-29,41793.16796875
2021-03-30,41792.86328125
2021-03-31,41789.1171875
2021-04-01,41781.17578125
2021-04-02,41773.20703125
2021-04-05,41769.86328125
2021-04-06,41774.6484375
2021-04-07,41787.859375
2021-04-08,41806.1484375
2021-04-09,41828.48828125
2021-04-12,41854.984375
2021-04-13,41885.4765625
2021-04-14,41914.3125
2021-04-15,41944.3125
2021-04-16,41970.76171875
2021-04-19,41987.046875
2021-04-20,41989.02734375
2021-04-21,41977.515625
2021-04-22,41954.98828125
2021-04-23,41925.7734375
2021-04-26,41893.6484375
2021-04-27,41866.1796875
2021-04-28,41847.91015625
2021-04-29,41840.93359375
2021-04-30,41845.5390625
2021-05-03,41863.73828125
2021-05-04,41895.09375
2021-05-06,41945.3515625
2021-05-07,42015.390625
2021-05-10,42101.4453125
2021-05-11,42198.7578125
2021-05-12,42306.17578125
2021-05-13,42423.56640625
2021-05-14,42550.91015625
2021-05-17,42685.33203125
2021-05-18,42821.015625
2021-05-20,42955.40625
2021-05-21,43087.15234375
2021-05-24,43212.98046875
2021-05-25,43334.40234375
2021-05-26,43451.62890625
2021-05-27,43566.1796875
2021-05-28,43677.46875
2021-05-31,43785.28125
2021-06-01,43886.29296875
2021-06-02,43980.5078125
2021-06-03,44067.73046875
2021-06-04,44146.82421875
